"state_code","district_code","UniqueID","total_area_ha","agriculture_area_ha","urban_area_ha","agriculture_percent","urban_percent"
"OD",1,"OD_1_01159200",8.51287467350813e-09,6.21714134398298e-09,NA,73.0322198132504,NA
"OD",1,"OD_1_01159400",7.63707457152752e-09,6.21714134398298e-09,NA,81.4073672550178,NA
"OD",1,"OD_1_01159100",7.14631010072962e-09,6.21714134398298e-09,NA,86.9979227930261,NA
"OD",1,"OD_1_01161700",1.36361890961951e-08,6.21714134398298e-09,NA,45.5929534280056,NA
"OD",1,"OD_1_01161600",7.73319492431625e-09,6.21714134398298e-09,NA,80.3955079993368,NA
"OD",1,"OD_1_01160800",5.51553340101599e-09,6.21714134398298e-09,NA,112.720581890371,NA
"OD",1,"OD_1_01161800",1.03526924221803e-08,6.21714134398298e-09,NA,60.053376362877,NA
"OD",1,"OD_1_01159500",8.32285818311136e-09,6.21714134398298e-09,NA,74.6995948651237,NA
"OD",1,"OD_1_01159300",3.44464544306329e-09,6.21714134398298e-09,NA,180.4871196977,NA
"OD",1,"OD_1_01159600",6.60792313646516e-10,6.21714134398298e-09,NA,940.861631648576,NA
"OD",1,"OD_1_01160600",7.55357992340885e-10,6.21714134398298e-09,NA,823.072160091377,NA
"OD",1,"OD_1_01160900",1.36741528357891e-08,6.21714134398298e-09,NA,45.4663730809778,NA
"OD",1,"OD_1_01161500",4.47632861942594e-09,6.21714134398298e-09,NA,138.889296844794,NA
"OD",1,"OD_1_01160400",9.32844721961965e-10,6.21714134398298e-09,NA,666.471192644694,NA
"OD",1,"OD_1_01160500",1.36252718599868e-09,6.21714134398298e-09,NA,456.294847388756,NA
"OD",1,"OD_1_01161400",8.83219082757257e-10,6.21714134398298e-09,NA,703.918366955359,NA
"OD",1,"OD_1_01159700",6.37263142172801e-09,6.21714134398298e-09,NA,97.5600334076302,NA
"OD",1,"OD_1_01161300",1.72846467635449e-08,6.21714134398298e-09,NA,35.9691547593299,NA
"OD",1,"OD_1_01160300",3.74166039503645e-09,6.21714134398298e-09,NA,166.159958082524,NA
"OD",1,"OD_1_01162000",1.8776724017561e-08,6.21714134398298e-09,NA,33.1108948406994,NA
"OD",1,"OD_1_01161000",7.63503669457007e-09,6.21714134398298e-09,NA,81.4290957947134,NA
"OD",1,"OD_1_01159800",9.39313315898425e-09,6.21714134398298e-09,NA,66.188152970412,NA
"OD",1,"OD_1_01160200",3.97737261827567e-09,6.21714134398298e-09,NA,156.312770782797,NA
"OD",1,"OD_1_01162400",3.03542544929921e-08,6.21714134398298e-09,NA,20.4819437928161,NA
"OD",1,"OD_1_01162100",1.56809169934841e-08,6.21714134398298e-09,NA,39.6478174494924,NA
"OD",1,"OD_1_01159900",4.72525028622656e-09,6.21714134398298e-09,NA,131.572741492764,NA
"OD",1,"OD_1_01160100",5.01801997047298e-09,6.21714134398298e-09,NA,123.896305326919,NA
"OD",1,"OD_1_01161100",6.63328440881972e-09,6.21714134398298e-09,NA,93.7264401887635,NA
"OD",1,"OD_1_01160000",5.07326977695164e-09,6.21714134398298e-09,NA,122.547028195269,NA
"OD",1,"OD_1_01161200",1.36885843374485e-08,6.21714134398298e-09,NA,45.418439122112,NA
"OD",1,"OD_1_01162800",1.3045557617101e-07,6.21714134398298e-09,NA,4.7657152928696,NA
"OD",1,"OD_1_01162200",5.22549039446861e-09,6.21714134398298e-09,NA,118.977184429696,NA
"OD",1,"OD_1_01162900",1.07862958208164e-07,6.21714134398298e-09,NA,5.76392623312314,NA
"OD",1,"OD_1_01163300",8.71145554651039e-08,6.21714134398298e-09,NA,7.13674231681459,NA
"OD",1,"OD_1_01162500",2.61756056113246e-08,6.21714134398298e-09,NA,23.7516618958119,NA
"OD",1,"OD_1_01162700",1.69538156599714e-08,6.21714134398298e-09,NA,36.6710448472191,NA
"OD",1,"OD_1_01163000",1.1462631984858e-08,6.21714134398298e-09,NA,54.2383403060986,NA
"OD",1,"OD_1_01162300",4.75309626056864e-09,6.21714134398298e-09,NA,130.801923696769,NA
"OD",1,"OD_1_01162600",1.73046226092823e-08,6.21714134398298e-09,NA,35.9276332362665,NA
