"UniqueID","Other","DryAqua","Aqua","DryAqua_area_m2","Aqua_area_m2"
"TN_2_40115000",42652,129,435,116100,391500
"TN_2_00057400",1840,1,0,900,0
"TN_2_40114000",10153,24,192,21600,172800
"TN_2_00057500",3363,0,13,0,11700
"TN_2_00058000",603,29,82,26100,73800
"TN_2_00057800",4758,37,195,33300,175500
"TN_2_00058200",5614,78,186,70200,167400
"TN_2_00058100",491,29,111,26100,99900
"TN_2_00057700",5856,37,225,33300,202500
"TN_2_00057900",631,71,56,63900,50400
"TN_2_00058500",6787,165,353,148500,317700
"TN_2_00058700",7458,40,174,36000,156600
"TN_2_00058600",7690,36,110,32400,99000
"TN_2_00057600",1114,2,0,1800,0
"TN_2_40116000",3963,69,11,62100,9900
"TN_2_00058300",641,21,0,18900,0
"TN_2_00059800",1024,0,10,0,9000
"TN_2_00059400",2231,0,4,0,3600
"TN_2_00059700",4778,20,67,18000,60300
"TN_2_00058400",750,0,7,0,6300
"TN_2_00059900",4873,0,143,0,128700
"TN_2_00059500",1715,0,0,0,0
"TN_2_00058900",559,8,20,7200,18000
"TN_2_00058800",998,10,12,9000,10800
"TN_2_00059100",1667,21,33,18900,29700
"TN_2_00059000",659,8,56,7200,50400
"TN_2_00059600",812,2,0,1800,0
"TN_2_40118000",7052,142,29,127800,26100
"TN_2_00059200",3672,101,130,90900,117000
"TN_2_00060100",7685,90,41,81000,36900
"TN_2_00059300",3277,37,31,33300,27900
"TN_2_00060100",353,8,0,7200,0
"TN_2_00060200",291,0,36,0,32400
"TN_2_40130000",5822,98,1,88200,900
"TN_2_40117000",9489,40,14,36000,12600
"TN_2_00060300",765,0,0,0,0
"TN_2_00060000",5099,10,14,9000,12600
"TN_2_00060400",989,6,0,5400,0
"TN_2_00060500",12221,300,346,270000,311400
"TN_2_00064900",2052,30,0,27000,0
"TN_2_00061000",255,1,0,900,0
"TN_2_00065900",4242,2,0,1800,0
"TN_2_00060900",2474,66,1,59400,900
"TN_2_00060700",762,0,0,0,0
"TN_2_00060600",4190,0,0,0,0
"TN_2_00060800",107,0,0,0,0
"TN_2_00065600",9794,109,112,98100,100800
"TN_2_40421000",15689,0,0,0,0
"TN_2_40131000",6302,298,30,268200,27000
"TN_2_40301000",3339,41,140,36900,126000
"TN_2_00065700",8142,5,19,4500,17100
"TN_2_00065800",13119,76,333,68400,299700
"TN_2_00066000",4807,2,0,1800,0
"TN_2_40132000",13473,79,13,71100,11700
"TN_2_00065000",805,8,0,7200,0
"TN_2_00065500",26652,320,561,288000,504900
"TN_2_00207900",4564,1,1,900,900
"TN_2_00065300",1015,8,2,7200,1800
"TN_2_00066100",1190,0,0,0,0
"TN_2_00065100",753,6,0,5400,0
"TN_2_00065200",1896,4,0,3600,0
"TN_2_00065400",1017,0,6,0,5400
"TN_2_00066800",3030,1,46,900,41400
"TN_2_00068100",469,4,0,3600,0
"TN_2_00066200",1250,0,0,0,0
"TN_2_00066600",2234,1,38,900,34200
"TN_2_00068300",1163,0,4,0,3600
"TN_2_00207800",154,0,0,0,0
"TN_2_40303000",2728,4,2,3600,1800
"TN_2_00068000",473,0,5,0,4500
"TN_2_40307000",5430,432,112,388800,100800
"TN_2_40306000",2006,20,4,18000,3600
"TN_2_00068500",713,25,27,22500,24300
"TN_2_00068400",993,4,7,3600,6300
"TN_2_00067300",7897,69,25,62100,22500
"TN_2_00066300",848,0,0,0,0
"TN_2_40302000",3442,86,18,77400,16200
"TN_2_00067900",3165,5,60,4500,54000
"TN_2_00067100",10123,194,147,174600,132300
"TN_2_00068700",2596,332,34,298800,30600
"TN_2_00068600",1809,251,69,225900,62100
"TN_2_00066500",1545,2,0,1800,0
"TN_2_00068200",382,7,10,6300,9000
"TN_2_00067200",9780,60,195,54000,175500
