UniqueID,NEAR_DIST
TN_1_00000300,21539.53425
TN_1_00000500,24727.60262
TN_1_00000400,23057.07625
TN_1_00001600,17236.34317
TN_1_00000900,17468.06078
TN_1_00000600,27807.12801
TN_1_00000800,22165.66692
TN_1_00000700,25551.09396
TN_1_00008600,8282.205864
TN_1_00008700,6564.059172
TN_1_00008400,9693.479729
TN_1_00008300,10775.67838
TN_1_00001200,13113.91716
TN_1_00002500,33216.47958
TN_1_00002300,28628.97646
TN_1_00001900,20885.12631
TN_1_00001400,14961.12231
TN_1_00001800,18970.65157
TN_1_00009100,8058.549081
TN_1_00002000,24091.45513
TN_1_00009500,12164.50306
TN_1_00009000,6750.397757
TN_1_00002200,30300.07402
TN_1_00001500,15850.29841
TN_1_00009400,10975.06419
TN_1_00001700,17468.74509
TN_1_00001300,14392.52628
TN_1_00009200,9107.168098
TN_1_00002100,27124.64569
TN_1_00009300,10635.08209
TN_1_00003700,19973.11302
TN_1_00010100,7890.768328
TN_1_00009600,12637.44724
TN_1_00004100,14898.30178
TN_1_00009700,10575.28331
TN_1_00003900,17789.66617
TN_1_00003800,19189.66557
TN_1_00002600,32866.66161
TN_1_00003600,22033.38482
TN_1_00004000,16625.10656
TN_1_00010200,5363.113839
TN_1_00004300,14195.92933
TN_1_00004400,12880.53089
TN_1_00004200,15295.28397
TN_1_00003300,29585.25981
TN_1_00009800,10355.28879
TN_1_00009900,12160.87408
TN_1_00005600,24644.08177
TN_1_00003500,26422.5843
TN_1_00012300,840.5310441
TN_1_00010000,10930.27352
TN_1_00010700,8407.49099
TN_1_00010600,7253.123549
TN_1_00003000,35591.79969
TN_1_00003200,31594.66782
TN_1_00003400,28051.20888
TN_1_00003400,28512.9857
TN_1_40101000,19127.51596
TN_1_00004600,14464.15612
TN_1_00003100,33520.91238
TN_1_00005400,21413.01013
TN_1_00002900,37745.27641
TN_1_00010900,11305.08268
TN_1_00004500,16785.43789
TN_1_00005500,22226.29444
TN_1_00005700,27693.05262
TN_1_00004800,17101.93715
TN_1_00005300,21455.27743
TN_1_00004900,19979.40139
TN_1_00005900,29911.09174
TN_1_00004700,17491.06092
TN_1_00011300,15243.26568
TN_1_00010800,10690.89145
TN_1_00007600,25348.17737
TN_1_00012400,655.5361385
TN_1_00005100,18611.14844
TN_1_00006100,34324.9075
TN_1_00011000,13201.28162
TN_1_00011200,15763.217
TN_1_00011800,11836.84986
TN_1_00012000,7800.859889
TN_1_00005000,19401.53748
TN_1_00005200,20157.42427
TN_1_00011400,17388.50128
TN_1_00012600,3542.434395
TN_1_00011100,15624.51641
TN_1_00012700,5877.58279
TN_1_00011500,18770.49886
TN_1_00006000,32139.47986
TN_1_00012800,6277.821497
TN_1_00005800,28294.30251
TN_1_00006200,38493.79704
TN_1_00008000,21023.0219
TN_1_00007700,23377.71234
