"UniqueID","saline_pixel_count","saline_area_m2","State","District","Year"
"AP_1_01150100",0,0,"AP",1,2013
"AP_1_01150200",0,0,"AP",1,2013
"AP_1_01150300",6.72364902496338,6051.28412246704,"AP",1,2013
"AP_1_01149900",20.1658573150635,18149.2715835571,"AP",1,2013
"AP_1_01131400",1,900,"AP",1,2013
"AP_1_01149700",0,0,"AP",1,2013
"AP_1_01150000",1,900,"AP",1,2013
"AP_1_01149600",4,3600,"AP",1,2013
"AP_1_01149400",0,0,"AP",1,2013
"AP_1_01149800",0,0,"AP",1,2013
"AP_1_01130800",0,0,"AP",1,2013
"AP_1_01131200",2,1800,"AP",1,2013
"AP_1_01108900",5,4500,"AP",1,2013
"AP_1_01131300",0,0,"AP",1,2013
"AP_1_01108800",18,16200,"AP",1,2013
"AP_1_01130900",0,0,"AP",1,2013
"AP_1_01131100",0,0,"AP",1,2013
"AP_1_01150500",99.3365936279297,89402.9342651367,"AP",1,2013
"AP_1_01149500",0,0,"AP",1,2013
"AP_1_01131500",0,0,"AP",1,2013
"AP_1_01150600",6.53093242645264,5877.83918380737,"AP",1,2013
"AP_1_01150800",10,9000,"AP",1,2013
"AP_1_01151000",0,0,"AP",1,2013
"AP_1_01150900",3,2700,"AP",1,2013
"AP_1_01151100",0,0,"AP",1,2013
"AP_1_01150700",18.2332725524902,16409.9452972412,"AP",1,2013
"AP_1_01133500",2.00322341918945,1802.90107727051,"AP",1,2013
"AP_1_01151200",0,0,"AP",1,2013
"AP_1_01133600",1,900,"AP",1,2013
"AP_1_01133300",0,0,"AP",1,2013
"AP_1_01133200",5,4500,"AP",1,2013
"AP_1_01109000",1,900,"AP",1,2013
"AP_1_01133400",5,4500,"AP",1,2013
"AP_1_01131600",157.19287109375,141473.583984375,"AP",1,2013
"AP_1_01133700",0,0,"AP",1,2013
"AP_1_01134400",0,0,"AP",1,2013
"AP_1_01151800",44.6976432800293,40227.8789520264,"AP",1,2013
"AP_1_01131000",0,0,"AP",1,2013
"AP_1_01133900",15,13500,"AP",1,2013
"AP_1_01133800",0,0,"AP",1,2013
"AP_1_01134600",0,0,"AP",1,2013
"AP_1_01151600",0,0,"AP",1,2013
"AP_1_01151700",1,900,"AP",1,2013
"AP_1_01134500",0,0,"AP",1,2013
"AP_1_01151300",0,0,"AP",1,2013
"AP_1_01151900",16.1580429077148,14542.2386169434,"AP",1,2013
"AP_1_01134800",0,0,"AP",1,2013
