"state_code","district_code","total_villages","mean_agriculture_percent","mean_urban_percent"
"AP",1,1831,75.4698000585773,3.5341721788504
"AP",2,1402,62.5484176682729,3.05934547553166
"AP",3,1503,39.6262058465218,4.55106936684074
"AP",4,1168,49.4116846748291,5.92571890005151
"AP",5,886,67.5348371193473,4.49578393583359
"AP",6,986,79.7330852851292,4.04746056419305
"AP",7,728,90.5190818956664,3.96280241095737
"AP",8,1066,81.8790773112056,2.05310797800963
"AP",9,1182,73.9455108525576,2.37750070273955
"OD",1,2835,86.9861569322918,7.59970016390899
"OD",2,1303,93.946261859728,3.74181277557618
"OD",3,1554,86.6642471858761,3.12172406904312
"OD",4,1263,84.8082773805928,4.55175998395624
"OD",5,1685,82.4116653514749,4.50771060948132
"OD",6,3267,65.1408096293949,4.55282809837058
"TN",1,617,77.8578536296976,10.2739136689513
"TN",2,1245,76.7968800545669,11.5823195501116
"TN",3,1477,76.9468712196526,4.56341049627038
"TN",4,855,73.0752628729693,6.63061510276515
"TN",5,487,72.6564883093032,6.49730681725715
"TN",6,620,81.7838913953484,3.5997039130821
"TN",7,835,66.733399200917,7.43403695970452
"TN",8,746,79.7696437449006,3.02581172367836
"TN",9,444,88.0211901766956,2.73883460994113
"TN",10,474,84.2079213581532,3.81852885048808
"TN",11,502,80.3097588789251,4.79944227514998
"TN",12,127,12.8594330219528,8.68608115646243
