"UniqueID","saline_pixel_count","saline_area_m2"
"OD_4_01836100",0,0
"OD_4_01954400",0,0
"OD_4_01836400",0,0
"OD_4_01837000",0,0
"OD_4_01836900",0,0
"OD_4_01836800",0,0
"OD_4_01837100",6,5400
"OD_4_01837600",0,0
"OD_4_01837200",0,0
"OD_4_01837400",0,0
"OD_4_01837300",0,0
"OD_4_01840800",2,1800
"OD_4_01840400",2,1800
"OD_4_01772300",22.8754177093506,20587.8759384155
"OD_4_01837500",0,0
"OD_4_01837800",0,0
"OD_4_01942900",2,1800
"OD_4_01840200",0,0
"OD_4_01839400",1,900
"OD_4_01684200",0,0
"OD_4_01839200",1.29163706302643,1162.47335672379
"OD_4_01772400",0,0
"OD_4_01837700",0,0
"OD_4_01839600",0,0
"OD_4_01839500",0,0
"OD_4_01843700",0,0
"OD_4_01839100",0.261332035064697,235.198831558228
"OD_4_01838300",0,0
"OD_4_01843600",0,0
"OD_4_01843500",0,0
"OD_4_01775000",0,0
"OD_4_01772600",0,0
"OD_4_01772500",0,0
"OD_4_01842300",0.44703084230423,402.327758073807
"OD_4_01778000",0,0
"OD_4_01843800",0,0
"OD_4_01842700",0,0
"OD_4_01773800",0,0
"OD_4_01772800",0,0
"OD_4_01841900",0,0
"OD_4_01843300",0,0
"OD_4_01843400",0,0
"OD_4_01841800",0,0
"OD_4_01772500",0,0
"OD_4_01776000",0,0
"OD_4_01774800",0,0
"OD_4_01743700",0,0
"OD_4_01843100",0,0
"OD_4_01778100",0,0
"OD_4_01777900",0,0
"OD_4_01776100",7.78292894363403,7004.63604927063
"OD_4_01842000",0,0
"OD_4_01776300",1,900
"OD_4_01773900",0,0
"OD_4_01843200",0,0
"OD_4_01776200",7.21707105636597,6495.36395072937
"OD_4_01843000",0,0
"OD_4_01838800",0,0
"OD_4_01842600",0,0
"OD_4_01841600",0,0
"OD_4_01842200",0,0
"OD_4_01777700",1,900
"OD_4_01840700",0,0
"OD_4_01842800",1,900
"OD_4_01775100",0,0
"OD_4_01776400",11,9900
"OD_4_01841500",0,0
"OD_4_01844400",0,0
"OD_4_01743100",0,0
"OD_4_01842400",0,0
"OD_4_01743600",2,1800
"OD_4_01841200",0,0
"OD_4_01842500",0,0
"OD_4_01841000",0,0
"OD_4_01775800",0,0
"OD_4_01944200",0,0
"OD_4_01775200",0,0
"OD_4_01844900",0,0
"OD_4_01772700",5.54722595214844,4992.50335693359
"OD_4_01773700",0,0
"OD_4_01841700",0,0
"OD_4_01840500",0,0
"OD_4_01842900",0,0
"OD_4_01774600",0,0
"OD_4_01772900",44,39600
"OD_4_01739800",0,0
"OD_4_01739900",0,0
"OD_4_01842100",0,0
"OD_4_01845200",0,0
"OD_4_01841300",0,0
"OD_4_01775300",0,0
"OD_4_01744200",8,7200
"OD_4_01844300",0,0
"OD_4_01774000",0,0
"OD_4_01846000",0,0
"OD_4_01786800",3,2700
"OD_4_01841400",0,0
"OD_4_01773600",0,0
"OD_4_01845500",0,0
"OD_4_01843900",2,1800
"OD_4_01776500",0,0
"OD_4_01740400",120.281715393066,108253.54385376
"OD_4_01846100",0,0
"OD_4_01774700",0,0
"OD_4_01844500",0,0
"OD_4_01777200",0,0
"OD_4_01773400",8.18149375915527,7363.34438323975
"OD_4_01840900",0,0
"OD_4_01844600",0,0
"OD_4_01743800",1,900
"OD_4_01775400",0,0
"OD_4_01774500",0,0
"OD_4_01844800",0,0
"OD_4_01845300",1,900
"OD_4_01845100",0,0
"OD_4_01776600",0,0
"OD_4_01775700",0,0
"OD_4_01841100",0,0
"OD_4_01746700",0,0
"OD_4_01849100",0,0
"OD_4_01745400",6,5400
"OD_4_01740300",1599.32788085938,1439395.09277344
"OD_4_01740500",0,0
"OD_4_01744400",3,2700
"OD_4_01773300",10,9000
"OD_4_01777600",0,0
"OD_4_01743500",0,0
"OD_4_01745800",1,900
"OD_4_01846500",0,0
"OD_4_01746800",0,0
"OD_4_01845700",0,0
"OD_4_01845000",0,0
"OD_4_01743400",1,900
"OD_4_01773500",5.81850671768188,5236.6560459137
"OD_4_01746100",1,900
"OD_4_01844200",0,0
"OD_4_01845600",0,0
"OD_4_01777300",0,0
"OD_4_01774400",23.5264091491699,21173.7682342529
"OD_4_01745700",0,0
"OD_4_01845900",0,0
"OD_4_01844100",0,0
"OD_4_01741100",1,900
"OD_4_01776700",0,0
"OD_4_01844700",0,0
"OD_4_01743200",0,0
"OD_4_01746600",0,0
"OD_4_01840600",0,0
"OD_4_01846600",0,0
"OD_4_01846300",0,0
"OD_4_01786900",0,0
"OD_4_01775500",0,0
"OD_4_01846200",0,0
"OD_4_01848900",0,0
"OD_4_01744100",0,0
"OD_4_01845400",0,0
"OD_4_01773000",1,900
"OD_4_01776800",1,900
"OD_4_01846400",0,0
"OD_4_01741000",0,0
"OD_4_01747700",0,0
"OD_4_01774200",2,1800
"OD_4_01846700",0,0
"OD_4_01775600",18.4735908508301,16626.2317657471
"OD_4_01747100",0,0
"OD_4_01741300",0,0
"OD_4_01944400",10.6687793731689,9601.90143585205
"OD_4_01774300",0,0
"OD_4_01777500",0,0
"OD_4_41101000",7517.70068359375,6765930.61523438
"OD_4_01786700",0,0
"OD_4_01844000",0,0
"OD_4_01777100",1,900
"OD_4_01848200",0,0
"OD_4_01741200",0,0
"OD_4_01744500",2,1800
"OD_4_01743900",0,0
"OD_4_01750200",0,0
"OD_4_01745300",2,1800
"OD_4_01740900",0,0
"OD_4_01773200",1,900
"OD_4_01848500",0,0
"OD_4_01744000",2,1800
"OD_4_01848400",0,0
"OD_4_01743300",0,0
"OD_4_01786600",0,0
