"UniqueID","saline_pixel_count","saline_area_m2"
"TN_7_01156800",1605.36962890625,1444832.66601562
"TN_7_01156700",210.450485229492,189405.436706543
"TN_7_01156900",1153.21716308594,1037895.44677734
"TN_7_01156600",0,0
"TN_7_01156500",0,0
"TN_7_01156400",245.252304077148,220727.073669434
"TN_7_01157400",0,0
"TN_7_01157600",0,0
"TN_7_01156200",166.56884765625,149911.962890625
"TN_7_01157300",0,0
"TN_7_01157800",17.173547744751,15456.1929702759
"TN_7_01157200",2,1800
"TN_7_01157000",16.2614269256592,14635.2842330933
"TN_7_00956700",1781.75158691406,1603576.42822266
"TN_7_01157500",0,0
"TN_7_01157700",3,2700
"TN_7_01157900",1437.38073730469,1293642.66357422
"TN_7_01157100",0,0
"TN_7_01158100",11,9900
"TN_7_00956800",1949.25244140625,1754327.19726562
"TN_7_42101000",0,0
"TN_7_01158400",0,0
"TN_7_01158200",0,0
"TN_7_01158000",0,0
"TN_7_01158300",0,0
"TN_7_01158600",0,0
"TN_7_01158500",1,900
"TN_7_01158700",260.654998779297,234589.498901367
"TN_7_01159800",7.37609434127808,6638.48490715027
"TN_7_01159200",0,0
"TN_7_01159700",0,0
"TN_7_01159300",0,0
"TN_7_01159400",0,0
"TN_7_01159600",11,9900
"TN_7_01159100",75.3387603759766,67804.8843383789
"TN_7_01160100",1,900
"TN_7_01159500",1,900
"TN_7_00958900",957.493103027344,861743.792724609
"TN_7_01160600",6.99539089202881,6295.85180282593
"TN_7_01159900",0,0
"TN_7_01160800",1,900
"TN_7_01160700",20.5657997131348,18509.2197418213
"TN_7_01160200",0,0
"TN_7_01160000",0,0
"TN_7_01163200",689.232604980469,620309.344482422
"TN_7_01160900",55.4632606506348,49916.9345855713
"TN_7_01161200",2.43880891799927,2194.92802619934
"TN_7_01160400",0,0
"TN_7_42106000",0,0
"TN_7_01161300",0,0
"TN_7_01160300",0,0
"TN_7_01163800",3033.06176757812,2729755.59082031
"TN_7_01160500",0,0
"TN_7_01163300",0,0
"TN_7_01163500",0,0
"TN_7_01161400",0,0
"TN_7_01162000",0,0
"TN_7_42102000",0,0
"TN_7_01161900",0,0
"TN_7_01161500",0.910812735557556,819.731462001801
"TN_7_01163400",0,0
"TN_7_01163700",0,0
"TN_7_01163600",0,0
"TN_7_01164200",0,0
"TN_7_01163900",390.172790527344,351155.511474609
"TN_7_42105000",28.6271095275879,25764.3985748291
