"UniqueID","Other","DryAqua","Aqua","DryAqua_area_m2","Aqua_area_m2"
"AP_5_01909800",3217,413,811,371700,729900
"AP_5_01909900",1471,1243,295,1118700,265500
"AP_5_01910000",2995,2472,66,2224800,59400
"AP_5_01910100",3287,967,260,870300,234000
"AP_5_01909700",1007,29,0,26100,0
"AP_5_01910200",6082,1774,333,1596600,299700
"AP_5_01906500",214813,28204,4380,25383600,3942000
"AP_5_01910300",6895,1771,175,1593900,157500
"AP_5_01909400",1006,106,71,95400,63900
"AP_5_01909500",686,344,1,309600,900
"AP_5_01909600",2957,683,243,614700,218700
"AP_5_01910400",11183,1752,305,1576800,274500
"AP_5_01904700",763,15,0,13500,0
"AP_5_01904800",1702,149,42,134100,37800
"AP_5_01904600",508,131,0,117900,0
"AP_5_01910500",2090,3747,528,3372300,475200
"AP_5_01904900",548,89,0,80100,0
"AP_5_01901200",3594,420,0,378000,0
"AP_5_01901400",5709,421,14,378900,12600
"AP_5_01910800",42329,10455,134,9409500,120600
"AP_5_01901500",6066,88,5,79200,4500
"AP_5_01901300",1086,2,0,1800,0
"AP_5_01901600",885,55,0,49500,0
"AP_5_01910600",6360,6789,147,6110100,132300
"AP_5_01904100",2309,86,0,77400,0
"AP_5_01901700",3537,47,0,42300,0
"AP_5_01901800",1460,48,65,43200,58500
"AP_5_01904500",597,955,8,859500,7200
"AP_5_01905000",917,95,90,85500,81000
"AP_5_01904200",999,188,36,169200,32400
"AP_5_01901900",514,43,0,38700,0
"AP_5_01902000",3360,71,0,63900,0
"AP_5_01910900",13191,3168,4,2851200,3600
"AP_5_01905100",878,591,0,531900,0
"AP_5_01904400",2710,40,0,36000,0
"AP_5_01905200",1781,347,0,312300,0
"AP_5_01904300",1413,87,0,78300,0
"AP_5_01905300",1122,161,0,144900,0
"AP_5_01902100",4100,52,0,46800,0
"AP_5_01905800",778,131,0,117900,0
"AP_5_01902200",9645,313,2,281700,1800
"AP_5_01905900",3194,774,0,696600,0
"AP_5_01905400",1085,25,0,22500,0
"AP_5_01905500",542,87,1,78300,900
"AP_5_01905700",3807,228,0,205200,0
"AP_5_01905600",2469,255,16,229500,14400
"AP_5_01906000",1491,284,4,255600,3600
"AP_5_01911300",6485,471,0,423900,0
"AP_5_01906100",2013,287,0,258300,0
"AP_5_01906200",3025,449,2,404100,1800
"AP_5_01911000",6549,782,1,703800,900
"AP_5_01906600",9389,389,0,350100,0
"AP_5_01911200",12559,907,0,816300,0
"AP_5_01906700",22974,295,3,265500,2700
"AP_5_01908400",1003,265,0,238500,0
"AP_5_01911500",7106,1191,47,1071900,42300
"AP_5_01906300",1653,34,0,30600,0
"AP_5_01911100",808,43,0,38700,0
"AP_5_01902300",4279,74,0,66600,0
"AP_5_01903000",12518,233,0,209700,0
"AP_5_01908300",1800,477,0,429300,0
"AP_5_01908200",3265,248,0,223200,0
"AP_5_01902400",1288,5,0,4500,0
"AP_5_01907400",1081,5,0,4500,0
"AP_5_01911400",5227,528,0,475200,0
"AP_5_01903100",8687,66,0,59400,0
"AP_5_01902500",4538,574,0,516600,0
"AP_5_01908100",1026,11,0,9900,0
"AP_5_01907700",1639,166,0,149400,0
"AP_5_01907600",1872,17,0,15300,0
"AP_5_01907500",2196,20,0,18000,0
"AP_5_01903600",9224,98,0,88200,0
