UniqueID,NEAR_DIST
AP_1_01144800,11026.75581
AP_1_01144900,11031.93165
AP_1_01145000,10877.42132
AP_1_01145100,12579.55756
AP_1_01145200,13607.51299
AP_1_01145500,15497.82666
AP_1_01145300,13640.23894
AP_1_01145400,14538.65034
AP_1_01146100,10964.79128
AP_1_01146000,12369.23989
AP_1_01146700,4970.72428
AP_1_01146200,8855.188199
AP_1_01146800,3780.024947
AP_1_01145700,13530.75643
AP_1_01145800,12361.93258
AP_1_01146400,6635.672009
AP_1_01145900,11407.44291
AP_1_01146600,5389.94016
AP_1_01146900,1603.020555
AP_1_01146300,7369.210219
AP_1_01146500,5915.318199
AP_1_01148800,1418.360048
AP_1_01148600,5021.483745
AP_1_01139100,14714.42229
AP_1_01148300,6159.485503
AP_1_01148700,3459.130054
AP_1_01148400,6207.292911
AP_1_01148200,7649.20971
AP_1_01148000,7891.096834
AP_1_01148500,5023.17306
AP_1_01147000,9143.490718
AP_1_01147100,6484.530195
AP_1_01139000,15487.50757
AP_1_01138900,16223.40991
AP_1_01148900,1628.140894
AP_1_01139200,14153.84393
AP_1_01147900,2771.39349
AP_1_01140300,9628.320368
AP_1_01138800,15347.34353
AP_1_01139300,14933.70338
AP_1_01139900,13410.96863
AP_1_01149000,879.4188543
AP_1_01139400,15382.82695
AP_1_01139800,12513.62739
AP_1_01139500,15106.59202
AP_1_01139600,13368.42713
AP_1_01147800,2183.271519
AP_1_01139700,12597.45084
AP_1_01140600,10007.84649
AP_1_01130500,18615.05776
AP_1_01140400,8046.769427
AP_1_01140700,10947.13937
AP_1_01140500,7570.872896
AP_1_01107500,75915.6163
AP_1_01147700,1961.582539
AP_1_01141300,9067.912659
AP_1_01141200,9829.632318
AP_1_01140800,11429.35373
AP_1_01141400,7457.586251
AP_1_01140900,11920.54642
AP_1_01107400,77027.2908
AP_1_01141000,11048.776
AP_1_01107800,75472.62302
AP_1_01141100,10031.33009
AP_1_01141500,5973.185823
AP_1_01147600,2430.096057
AP_1_01149100,15671.86604
AP_1_01142000,11358.21494
AP_1_01141600,8417.907262
AP_1_01141700,8968.866346
AP_1_01141800,9914.778453
AP_1_01107900,75062.09714
AP_1_01142100,11650.52176
AP_1_01141900,10364.75442
AP_1_01143800,7945.198103
AP_1_01142300,11355.73611
AP_1_01142200,12563.27371
AP_1_01143500,9882.886144
AP_1_01143400,10129.0369
