"UniqueID","saline_pixel_count","saline_area_m2"
"OD_1_01159200",0,0
"OD_1_01159400",0,0
"OD_1_01159100",0,0
"OD_1_01161700",0,0
"OD_1_01161600",0.192746073007584,173.471465706825
"OD_1_01160800",1.80725395679474,1626.52856111526
"OD_1_01161800",0,0
"OD_1_01159500",1,900
"OD_1_01159300",0,0
"OD_1_01159600",0,0
"OD_1_01160600",0,0
"OD_1_01160900",0,0
"OD_1_01161500",0,0
"OD_1_01160400",0,0
"OD_1_01160500",0,0
"OD_1_01161400",0,0
"OD_1_01159700",3,2700
"OD_1_01161300",2,1800
"OD_1_01160300",0,0
"OD_1_01162000",0,0
"OD_1_01161000",0,0
"OD_1_01159800",2.36858654022217,2131.72788619995
"OD_1_01160200",0.631413519382477,568.272167444229
"OD_1_01162400",22,19800
"OD_1_01162100",0,0
"OD_1_01159900",4,3600
"OD_1_01160100",1,900
"OD_1_01161100",1,900
"OD_1_01160000",0,0
"OD_1_01161200",0,0
"OD_1_01162800",1,900
"OD_1_01162200",0,0
"OD_1_01162900",1,900
"OD_1_01163300",1,900
"OD_1_01162500",29,26100
"OD_1_01162700",1,900
"OD_1_01163000",0,0
"OD_1_01162300",0,0
"OD_1_01162600",1,900
"OD_1_01164100",0,0
"OD_1_01163200",1,900
"OD_1_01163700",0,0
"OD_1_01163100",0,0
"OD_1_01164200",0,0
"OD_1_01163600",0,0
"OD_1_01163500",0,0
"OD_1_01163900",0,0
"OD_1_01163800",0,0
"OD_1_01164000",0,0
"OD_1_01164400",0,0
"OD_1_01164700",0,0
"OD_1_01165600",0,0
"OD_1_01164500",0,0
"OD_1_01163400",0,0
"OD_1_01164600",0,0
"OD_1_00976800",2,1800
"OD_1_01165500",1,900
"OD_1_01164900",0,0
"OD_1_00977100",1,900
"OD_1_01165300",0,0
"OD_1_01166800",3.60258316993713,3242.32485294342
"OD_1_01166900",0,0
"OD_1_01165700",0,0
"OD_1_01165000",0,0
"OD_1_01164800",0,0
"OD_1_01165200",3,2700
"OD_1_01165100",0,0
"OD_1_01166100",0,0
"OD_1_01166200",0,0
"OD_1_01165400",0,0
"OD_1_00977300",0,0
"OD_1_01166700",0,0
"OD_1_00977400",0,0
"OD_1_01166400",0,0
