"UniqueID","Other","DryAqua","Aqua","DryAqua_area_m2","Aqua_area_m2"
"AP_5_01909800",3667,396,795,356400,715500
"AP_5_01909900",1800,721,572,648900,514800
"AP_5_01910000",4124,607,491,546300,441900
"AP_5_01910100",4768,295,103,265500,92700
"AP_5_01909700",1201,0,0,0,0
"AP_5_01910200",7306,415,487,373500,438300
"AP_5_01906500",263404,2386,6937,2147400,6243300
"AP_5_01910300",8025,1079,98,971100,88200
"AP_5_01909400",1462,3,1,2700,900
"AP_5_01909500",1429,9,0,8100,0
"AP_5_01909600",3709,294,145,264600,130500
"AP_5_01910400",12834,485,498,436500,448200
"AP_5_01904700",937,0,0,0,0
"AP_5_01904800",1875,36,48,32400,43200
"AP_5_01904600",784,0,10,0,9000
"AP_5_01910500",4435,758,644,682200,579600
"AP_5_01904900",672,9,11,8100,9900
"AP_5_01901200",4769,0,0,0,0
"AP_5_01901400",6794,13,68,11700,61200
"AP_5_01910800",51244,4671,1449,4203900,1304100
"AP_5_01901500",6336,21,3,18900,2700
"AP_5_01901300",1140,0,0,0,0
"AP_5_01901600",1208,5,1,4500,900
"AP_5_01910600",15292,378,500,340200,450000
"AP_5_01904100",2637,57,0,51300,0
"AP_5_01901700",4063,4,0,3600,0
"AP_5_01901800",1520,10,134,9000,120600
"AP_5_01904500",1088,349,17,314100,15300
"AP_5_01905000",1341,0,55,0,49500
"AP_5_01904200",1008,65,197,58500,177300
"AP_5_01901900",632,32,0,28800,0
"AP_5_01902000",3577,26,0,23400,0
"AP_5_01910900",16640,199,447,179100,402300
"AP_5_01905100",1253,44,106,39600,95400
"AP_5_01904400",2598,52,23,46800,20700
"AP_5_01905200",1410,249,33,224100,29700
"AP_5_01904300",2028,14,0,12600,0
"AP_5_01905300",1126,26,66,23400,59400
"AP_5_01902100",4378,7,0,6300,0
"AP_5_01905800",457,220,2,198000,1800
"AP_5_01902200",10287,46,1,41400,900
"AP_5_01905900",2439,735,45,661500,40500
"AP_5_01905400",1064,19,4,17100,3600
"AP_5_01905500",660,3,27,2700,24300
"AP_5_01905700",3198,347,15,312300,13500
"AP_5_01905600",2839,60,68,54000,61200
"AP_5_01906000",1445,111,42,99900,37800
"AP_5_01911300",7580,146,50,131400,45000
"AP_5_01906100",2285,72,35,64800,31500
"AP_5_01906200",3709,46,42,41400,37800
"AP_5_01911000",7719,70,115,63000,103500
"AP_5_01906600",10304,242,1,217800,900
"AP_5_01911200",13790,153,182,137700,163800
"AP_5_01906700",19270,875,212,787500,190800
"AP_5_01908400",775,176,23,158400,20700
"AP_5_01911500",7671,1093,12,983700,10800
"AP_5_01906300",1697,5,0,4500,0
"AP_5_01911100",880,50,0,45000,0
"AP_5_01902300",4401,46,0,41400,0
"AP_5_01903000",12392,150,38,135000,34200
"AP_5_01908300",2090,88,57,79200,51300
"AP_5_01908200",3652,41,49,36900,44100
"AP_5_01902400",1422,2,0,1800,0
"AP_5_01907400",1110,2,0,1800,0
"AP_5_01911400",4884,701,1,630900,900
"AP_5_01903100",8618,160,0,144000,0
"AP_5_01902500",5607,89,9,80100,8100
"AP_5_01908100",1096,11,0,9900,0
"AP_5_01907700",1995,28,15,25200,13500
"AP_5_01907600",1763,22,0,19800,0
"AP_5_01907500",2269,0,0,0,0
"AP_5_01903600",9343,75,8,67500,7200
"AP_5_01902900",3019,74,71,66600,63900
"AP_5_01913800",2604,151,2,135900,1800
"AP_5_01908000",1872,22,0,19800,0
"AP_5_01913700",4402,91,0,81900,0
"AP_5_01906400",1449,6,0,5400,0
"AP_5_01893900",8091,11,0,9900,0
"AP_5_01908500",2855,100,6,90000,5400
"AP_5_01911600",19794,833,23,749700,20700
"AP_5_01902800",1702,37,0,33300,0
"AP_5_01913900",26783,455,191,409500,171900
"AP_5_01902600",3520,11,0,9900,0
"AP_5_01908900",3838,19,6,17100,5400
"AP_5_01909000",201,11,0,9900,0
"AP_5_01903700",1539,32,0,28800,0
"AP_5_01907800",3564,31,5,27900,4500
"AP_5_01907900",1577,6,0,5400,0
"AP_5_01902700",8018,112,0,100800,0
"AP_5_01907300",7659,337,4,303300,3600
"AP_5_01903400",5384,8,0,7200,0
"AP_5_01908800",1994,44,0,39600,0
"AP_5_01913600",14750,95,14,85500,12600
"AP_5_01909100",1422,10,4,9000,3600
"AP_5_01908600",1417,20,0,18000,0
"AP_5_01903200",6076,169,0,152100,0
"AP_5_01916000",1998,22,3,19800,2700
"AP_5_01907100",2755,57,1,51300,900
"AP_5_01907200",9921,83,1,74700,900
"AP_5_01909200",3136,14,0,12600,0
"AP_5_01903500",1408,0,0,0,0
"AP_5_01908700",4989,91,5,81900,4500
"AP_5_01894500",9517,42,1,37800,900
"AP_5_01914200",10804,104,45,93600,40500
"AP_5_01903300",7857,175,0,157500,0
"AP_5_01906800",3639,82,12,73800,10800
"AP_5_01915800",12318,306,63,275400,56700
"AP_5_01915900",14777,803,12,722700,10800
"AP_5_01899000",15180,69,8,62100,7200
"AP_5_01916200",9864,57,7,51300,6300
"AP_5_01903800",5166,23,0,20700,0
"AP_5_01907000",558,3,0,2700,0
"AP_5_01906900",14389,66,0,59400,0
"AP_5_01918100",1599,68,70,61200,63000
"AP_5_01915500",6149,154,28,138600,25200
"AP_5_01916100",1312,26,0,23400,0
"AP_5_01914000",2989,58,53,52200,47700
"AP_5_01894300",5250,46,0,41400,0
"AP_5_01894200",3634,67,0,60300,0
"AP_5_01903900",16558,199,2,179100,1800
"AP_5_01909300",1960,7,0,6300,0
"AP_5_01911700",3224,1300,9,1170000,8100
"AP_5_01893800",9828,161,2,144900,1800
"AP_5_01917400",18753,1794,2833,1614600,2549700
"AP_5_01911800",2910,70,0,63000,0
"AP_5_01904000",6924,564,8,507600,7200
"AP_5_01914300",8292,121,15,108900,13500
"AP_5_01914100",21884,360,456,324000,410400
"AP_5_01914400",22383,298,124,268200,111600
"AP_5_01916300",38687,2775,77,2497500,69300
"AP_5_01918200",6351,21,0,18900,0
"AP_5_01899100",8521,24,0,21600,0
"AP_5_01911900",1400,516,0,464400,0
"AP_5_01912000",7872,295,2,265500,1800
"AP_5_01918000",4594,22,1,19800,900
"AP_5_01894600",18223,253,114,227700,102600
"AP_5_01898900",3261,28,5,25200,4500
"AP_5_01917900",6821,72,0,64800,0
"AP_5_01912500",19613,2600,10,2340000,9000
"AP_5_01915600",8981,107,2,96300,1800
"AP_5_01912100",3764,55,8,49500,7200
"AP_5_01917300",9059,411,261,369900,234900
"AP_5_01918400",27244,1279,17,1151100,15300
"AP_5_01899200",8437,220,0,198000,0
"AP_5_01912200",938,1,0,900,0
"AP_5_01893700",4518,15,0,13500,0
"AP_5_01918300",2002,51,0,45900,0
"AP_5_01917800",1067,7,0,6300,0
"AP_5_01912400",6565,552,7,496800,6300
"AP_5_01893000",20513,2052,213,1846800,191700
"AP_5_01894700",1041,2,0,1800,0
"AP_5_01899300",4227,23,6,20700,5400
"AP_5_01912800",694,512,2,460800,1800
"AP_5_01912300",350,90,0,81000,0
"AP_5_01917700",9649,1108,1519,997200,1367100
"AP_5_01892800",16461,2065,642,1858500,577800
"AP_5_01899500",30148,268,1092,241200,982800
"AP_5_01893600",4618,2,0,1800,0
"AP_5_01915700",17735,1341,61,1206900,54900
"AP_5_01893500",5027,23,0,20700,0
"AP_5_01912700",1081,676,3,608400,2700
"AP_5_01915000",17690,525,61,472500,54900
"AP_5_01918500",3857,360,0,324000,0
"AP_5_01915100",16226,268,4,241200,3600
"AP_5_01914500",5592,206,193,185400,173700
"AP_5_01091300",5143,487,137,438300,123300
"AP_5_01895100",9478,294,14,264600,12600
"AP_5_01912600",1032,613,0,551700,0
"AP_5_01899800",24874,253,4,227700,3600
"AP_5_01914600",3195,311,5,279900,4500
"AP_5_01894800",5396,85,31,76500,27900
"AP_5_01899900",5085,38,36,34200,32400
"AP_5_01899400",950,25,0,22500,0
"AP_5_01895300",10559,71,106,63900,95400
"AP_5_01916400",3926,225,29,202500,26100
"AP_5_01912900",3778,3401,3,3060900,2700
"AP_5_01899700",15991,36,1,32400,900
"AP_5_01915200",8646,1651,12,1485900,10800
"AP_5_01900000",15217,300,1922,270000,1729800
"AP_5_01892900",1478,28,0,25200,0
"AP_5_01893400",6089,1099,158,989100,142200
"AP_5_01917500",413,79,604,71100,543600
"AP_5_01899600",7549,61,0,54900,0
"AP_5_01895200",1768,17,0,15300,0
"AP_5_01914800",7764,113,5,101700,4500
"AP_5_01894900",3391,525,175,472500,157500
"AP_5_01919300",18972,1162,37,1045800,33300
"AP_5_01916500",4003,99,2,89100,1800
"AP_5_01914700",3117,98,1,88200,900
"AP_5_01918600",5798,407,442,366300,397800
"AP_5_01917600",1943,102,567,91800,510300
"AP_5_01919200",18866,657,222,591300,199800
"AP_5_01926000",25368,390,0,351000,0
"AP_5_01919100",8895,1191,254,1071900,228600
"AP_5_01895000",3328,56,0,50400,0
"AP_5_01913000",242,679,0,611100,0
"AP_5_01913100",4251,3206,4,2885400,3600
"AP_5_01916700",7920,457,24,411300,21600
"AP_5_01918700",8259,545,528,490500,475200
"AP_5_01913200",3215,1437,65,1293300,58500
"AP_5_01916600",6345,177,42,159300,37800
"AP_5_01900100",22002,366,19,329400,17100
"AP_5_01927800",447,1203,0,1082700,0
"AP_5_01893300",1081,2960,21,2664000,18900
"AP_5_01895400",22892,3971,256,3573900,230400
"AP_5_01914900",7353,71,2,63900,1800
"AP_5_01915300",9511,2291,4,2061900,3600
"AP_5_01916800",6481,194,28,174600,25200
"AP_5_01893100",2718,1052,13,946800,11700
"AP_5_01927900",3058,2762,25,2485800,22500
"AP_5_01091400",4577,307,0,276300,0
"AP_5_01919000",15171,2445,2,2200500,1800
"AP_5_01900400",8567,61,0,54900,0
"AP_5_01926900",11896,4090,41,3681000,36900
"AP_5_01926700",34843,6836,59,6152400,53100
"AP_5_01900300",9503,15,0,13500,0
"AP_5_01913300",948,984,1,885600,900
"AP_5_01916900",17226,2065,43,1858500,38700
"AP_5_01900200",17929,127,6,114300,5400
"AP_5_01893200",767,436,0,392400,0
"AP_5_01917000",6826,266,30,239400,27000
"AP_5_01913500",326,276,0,248400,0
"AP_5_01926100",22725,297,19,267300,17100
"AP_5_01913400",2150,1369,2,1232100,1800
"AP_5_01919400",6634,2146,10,1931400,9000
"AP_5_01927100",2468,8811,38,7929900,34200
"AP_5_01917100",6463,83,0,74700,0
"AP_5_01927700",1920,1416,128,1274400,115200
"AP_5_01895500",4073,26,0,23400,0
"AP_5_01915400",378,779,2,701100,1800
"AP_5_01901100",8853,13,1,11700,900
"AP_5_01928000",2471,942,18,847800,16200
"AP_5_01927000",1578,7440,22,6696000,19800
"AP_5_01900500",5274,10,0,9000,0
"AP_5_01920100",10722,199,0,179100,0
"AP_5_01918800",11145,230,2,207000,1800
"AP_5_01927600",1183,3822,62,3439800,55800
"AP_5_01927500",5421,5516,157,4964400,141300
"AP_5_01900600",12077,65,14,58500,12600
"AP_5_01895600",7740,59,11,53100,9900
"AP_5_01921500",10735,838,1,754200,900
"AP_5_41501000",8852,2946,197,2651400,177300
"AP_5_01920000",8354,131,0,117900,0
"AP_5_01919900",1646,2,0,1800,0
"AP_5_01917200",11110,12,0,10800,0
"AP_5_01919700",5784,7,0,6300,0
"AP_5_01919800",6815,23,0,20700,0
"AP_5_01924700",18590,1279,44,1151100,39600
"AP_5_01918900",6149,333,1,299700,900
"AP_5_01896200",8496,260,286,234000,257400
"AP_5_01919600",15671,349,34,314100,30600
"AP_5_01924600",19307,277,0,249300,0
"AP_5_01920500",39622,376,56,338400,50400
"AP_5_01895900",28905,319,17,287100,15300
"AP_5_01926200",26092,4718,906,4246200,815400
"AP_5_01895800",998,6,0,5400,0
"AP_5_01927200",622,2482,9,2233800,8100
"AP_5_01895700",2534,3,0,2700,0
"AP_5_01921600",20413,370,4,333000,3600
"AP_5_01900700",2849,0,0,0,0
"AP_5_01920200",8688,107,26,96300,23400
"AP_5_01900900",5171,19,0,17100,0
"AP_5_01921200",12712,306,12,275400,10800
"AP_5_01926600",2944,516,35,464400,31500
"AP_5_01920300",5429,47,3,42300,2700
"AP_5_01921300",8171,213,0,191700,0
"AP_5_01927400",2247,2410,9,2169000,8100
"AP_5_01919500",4667,41,0,36900,0
"AP_5_01926800",11184,1044,0,939600,0
"AP_5_01900800",4319,23,0,20700,0
"AP_5_01927300",3757,2016,0,1814400,0
"AP_5_01928100",682,1296,15,1166400,13500
