"UniqueID","saline_pixel_count","saline_area_m2"
"AP_5_01909800",509.120574951172,458208.517456055
"AP_5_01909900",107.423515319824,96681.1637878418
"AP_5_01910000",223.960800170898,201564.720153809
"AP_5_01910100",542.016174316406,487814.556884766
"AP_5_01909700",0,0
"AP_5_01910200",129.843063354492,116858.757019043
"AP_5_01906500",374.415985107422,336974.38659668
"AP_5_01910300",207.895843505859,187106.259155273
"AP_5_01909400",0,0
"AP_5_01909500",0,0
"AP_5_01909600",0,0
"AP_5_01910400",1122.44982910156,1010204.84619141
"AP_5_01904700",0,0
"AP_5_01904800",0,0
"AP_5_01904600",0,0
"AP_5_01910500",439.200866699219,395280.780029297
"AP_5_01904900",0,0
"AP_5_01901200",0,0
"AP_5_01901400",0,0
"AP_5_01910800",1719.25085449219,1547325.76904297
"AP_5_01901500",0,0
"AP_5_01901300",0,0
"AP_5_01901600",0,0
"AP_5_01910600",410.146789550781,369132.110595703
"AP_5_01904100",0,0
"AP_5_01901700",0,0
"AP_5_01901800",0,0
"AP_5_01904500",0,0
"AP_5_01905000",0,0
"AP_5_01904200",107.584014892578,96825.6134033203
"AP_5_01901900",0,0
"AP_5_01902000",0,0
"AP_5_01910900",34,30600
"AP_5_01905100",0,0
"AP_5_01904400",2,1800
"AP_5_01905200",0,0
"AP_5_01904300",0,0
"AP_5_01905300",0,0
"AP_5_01902100",0,0
"AP_5_01905800",0,0
"AP_5_01902200",0,0
"AP_5_01905900",0,0
"AP_5_01905400",97.9302368164062,88137.2131347656
"AP_5_01905500",0,0
"AP_5_01905700",0,0
"AP_5_01905600",32.0697631835938,28862.7868652344
"AP_5_01906000",0,0
"AP_5_01911300",2,1800
"AP_5_01906100",7,6300
"AP_5_01906200",0,0
"AP_5_01911000",0,0
"AP_5_01906600",0,0
"AP_5_01911200",167.189331054688,150470.397949219
"AP_5_01906700",0,0
"AP_5_01908400",0,0
"AP_5_01911500",6,5400
"AP_5_01906300",0,0
"AP_5_01911100",0,0
"AP_5_01902300",0,0
"AP_5_01903000",0,0
"AP_5_01908300",0,0
"AP_5_01908200",0,0
"AP_5_01902400",0,0
"AP_5_01907400",0,0
"AP_5_01911400",0,0
"AP_5_01903100",0,0
"AP_5_01902500",0,0
"AP_5_01908100",0,0
"AP_5_01907700",0,0
"AP_5_01907600",0,0
"AP_5_01907500",0,0
"AP_5_01903600",0,0
"AP_5_01902900",0,0
"AP_5_01913800",0,0
"AP_5_01908000",0,0
"AP_5_01913700",0,0
"AP_5_01906400",0,0
"AP_5_01893900",0,0
"AP_5_01908500",80.3184204101562,72286.5783691406
"AP_5_01911600",41.2920265197754,37162.8238677979
"AP_5_01902800",0,0
"AP_5_01913900",8,7200
"AP_5_01902600",0,0
"AP_5_01908900",0,0
"AP_5_01909000",0,0
"AP_5_01903700",0,0
"AP_5_01907800",0,0
"AP_5_01907900",0,0
"AP_5_01902700",0,0
"AP_5_01907300",0,0
"AP_5_01903400",2,1800
"AP_5_01908800",0,0
"AP_5_01913600",146.492248535156,131843.023681641
"AP_5_01909100",0,0
"AP_5_01908600",0,0
"AP_5_01903200",2,1800
"AP_5_01916000",0,0
"AP_5_01907100",2,1800
"AP_5_01907200",0,0
"AP_5_01909200",0,0
"AP_5_01903500",0.420275628566742,378.248065710068
"AP_5_01908700",0,0
"AP_5_01894500",0,0
"AP_5_01914200",13,11700
"AP_5_01903300",0,0
"AP_5_01906800",0,0
"AP_5_01915800",3,2700
"AP_5_01915900",4.01354455947876,3612.19010353088
"AP_5_01899000",0,0
"AP_5_01916200",11,9900
"AP_5_01903800",0,0
"AP_5_01907000",0,0
"AP_5_01906900",1,900
"AP_5_01918100",0,0
"AP_5_01915500",4,3600
"AP_5_01916100",0,0
"AP_5_01914000",31.6510410308838,28485.9369277954
"AP_5_01894300",0,0
"AP_5_01894200",0,0
"AP_5_01903900",11.5797243118286,10421.7518806458
"AP_5_01909300",2,1800
"AP_5_01911700",2,1800
"AP_5_01893800",0,0
"AP_5_01917400",158.906356811523,143015.721130371
"AP_5_01911800",8.0569314956665,7251.23834609985
"AP_5_01904000",1,900
"AP_5_01914300",30.8494567871094,27764.5111083984
"AP_5_01914100",3.15054297447205,2835.48867702484
"AP_5_01914400",5,4500
"AP_5_01916300",10.9864549636841,9887.80946731567
"AP_5_01918200",0,0
"AP_5_01899100",0,0
"AP_5_01911900",0,0
"AP_5_01912000",22.7318477630615,20458.6629867554
"AP_5_01918000",0,0
"AP_5_01894600",0,0
"AP_5_01898900",0,0
"AP_5_01917900",0,0
"AP_5_01912500",27.2681522369385,24541.3370132446
"AP_5_01915600",1,900
"AP_5_01912100",4,3600
"AP_5_01917300",0,0
"AP_5_01918400",87,78300
"AP_5_01899200",0,0
"AP_5_01912200",0,0
"AP_5_01893700",0,0
"AP_5_01918300",18,16200
"AP_5_01917800",0,0
"AP_5_01912400",5,4500
"AP_5_01893000",10,9000
"AP_5_01894700",0,0
"AP_5_01899300",1,900
"AP_5_01912800",88.1318435668945,79318.6592102051
"AP_5_01912300",11.7034950256348,10533.1455230713
"AP_5_01917700",61.0936393737793,54984.2754364014
"AP_5_01892800",12,10800
"AP_5_01899500",239,215100
"AP_5_01893600",0,0
"AP_5_01915700",8,7200
