"UniqueID","saline_pixel_count","saline_area_m2"
"TN_8_01246700",17,15300
"TN_8_00918200",4,3600
"TN_8_01247100",54,48600
"TN_8_01254100",1,900
"TN_8_01238400",0,0
"TN_8_01248900",2,1800
"TN_8_01253800",0,0
"TN_8_01246900",3,2700
"TN_8_01246800",2,1800
"TN_8_01247600",0,0
"TN_8_01253800",0,0
"TN_8_00917700",0,0
"TN_8_01238600",2,1800
"TN_8_01247200",0,0
"TN_8_01248000",1,900
"TN_8_01254000",0,0
"TN_8_01248100",0,0
"TN_8_01248200",1,900
"TN_8_01239300",2,1800
"TN_8_01249100",12.0803546905518,10872.3192214966
"TN_8_01238700",4,3600
"TN_8_01248800",1,900
"TN_8_01254400",3,2700
"TN_8_01254900",0,0
"TN_8_01239500",0,0
"TN_8_01249200",17.1712226867676,15454.1004180908
"TN_8_01239100",10,9000
"TN_8_01248300",2,1800
"TN_8_01239000",41,36900
"TN_8_01247800",2.89017868041992,2601.16081237793
"TN_8_01254800",0,0
"TN_8_01247700",0,0
"TN_8_01238800",12,10800
"TN_8_01248500",0,0
"TN_8_01249300",1,900
"TN_8_01255600",4.03987598419189,3635.88838577271
"TN_8_01248400",0,0
"TN_8_01248700",2,1800
"TN_8_01255000",4.96012449264526,4464.11204338074
"TN_8_01239200",11,9900
"TN_8_01247900",0,0
"TN_8_01248600",8,7200
"TN_8_01254500",0,0
"TN_8_01250400",15.1098213195801,13598.8391876221
"TN_8_01238900",40.9498596191406,36854.8736572266
"TN_8_01250200",12.5662107467651,11309.5896720886
"TN_8_01249400",5,4500
"TN_8_01255700",0,0
"TN_8_01250000",0,0
"TN_8_01240100",3,2700
"TN_8_01250500",0,0
"TN_8_01240000",21,18900
"TN_8_01254700",0,0
"TN_8_01254600",1,900
"TN_8_01255100",10,9000
"TN_8_42203000",17.6911544799805,15922.0390319824
"TN_8_01239700",0,0
"TN_8_01255800",0,0
"TN_8_01240400",30.3409576416016,27306.8618774414
"TN_8_01249900",0,0
"TN_8_01250300",0,0
"TN_8_01249800",1,900
"TN_8_00922400",0,0
"TN_8_01240500",9.65904331207275,8693.13898086548
"TN_8_01240200",53.0687713623047,47761.8942260742
"TN_8_00922300",0,0
"TN_8_01239900",0,0
"TN_8_01239800",0,0
"TN_8_01255900",0,0
"TN_8_01249600",24.4834480285645,22035.103225708
"TN_8_01255500",0,0
"TN_8_01240600",0,0
"TN_8_01240300",14,12600
"TN_8_01250100",0,0
"TN_8_01241600",1,900
"TN_8_01241500",4,3600
"TN_8_01240900",21,18900
"TN_8_01255400",2,1800
"TN_8_01255200",0,0
"TN_8_01274600",0,0
"TN_8_01251100",0,0
"TN_8_01274700",0,0
"TN_8_00924500",0,0
"TN_8_00924400",0,0
"TN_8_01255300",4,3600
"TN_8_01249500",1.86017036437988,1674.15332794189
"TN_8_01250600",1.43378949165344,1290.4105424881
"TN_8_01241000",18.6889419555664,16820.0477600098
"TN_8_01250900",22,19800
"TN_8_01249700",3.82539796829224,3442.85817146301
"TN_8_01251400",58.5462341308594,52691.6107177734
"TN_8_01251200",0,0
"TN_8_00924500",0,0
"TN_8_01241700",0,0
"TN_8_01240700",28.689474105835,25820.5266952515
"TN_8_01256500",22,19800
"TN_8_01241100",47.3108177185059,42579.7359466553
"TN_8_01241300",14.7297897338867,13256.810760498
"TN_8_01241400",9,8100
"TN_8_00924600",0,0
"TN_8_01274500",0,0
"TN_8_01241200",2.00024127960205,1800.21715164185
"TN_8_01256600",0,0
"TN_8_01250800",1,900
"TN_8_00924500",0,0
"TN_8_01242000",1,900
"TN_8_01256100",1,900
"TN_8_01256000",1,900
"TN_8_01256400",0,0
"TN_8_01256300",2,1800
"TN_8_01251300",67,60300
"TN_8_01240800",22.5703735351562,20313.3361816406
"TN_8_00924500",1,900
"TN_8_01275100",2,1800
"TN_8_01256200",0,0
"TN_8_42201000",8,7200
"TN_8_01259100",0,0
"TN_8_01242500",49.2297325134277,44306.759262085
"TN_8_01242100",6,5400
"TN_8_01251800",0,0
"TN_8_01275200",2,1800
"TN_8_01251000",1,900
"TN_8_01250700",1,900
"TN_8_00924800",0,0
"TN_8_01275000",0,0
"TN_8_01259000",14,12600
"TN_8_01242800",27.5935935974121,24834.2342376709
"TN_8_01251700",31,27900
"TN_8_01241800",3,2700
"TN_8_01275300",4,3600
"TN_8_01256700",1,900
"TN_8_01242200",0,0
"TN_8_01252100",9,8100
"TN_8_01258900",5,4500
"TN_8_01242700",23,20700
"TN_8_01275600",2.38091683387756,2142.82515048981
"TN_8_01252000",0,0
"TN_8_01251600",83.7260971069336,75353.4873962402
"TN_8_01251900",0,0
"TN_8_01275500",0,0
"TN_8_01242900",278.100219726562,250290.197753906
"TN_8_00928000",12,10800
"TN_8_01275400",0,0
"TN_8_01242400",5.43036890029907,4887.33201026917
"TN_8_01276100",3,2700
"TN_8_01276000",2,1800
"TN_8_01256800",2,1800
"TN_8_01256900",4,3600
"TN_8_01259400",1,900
"TN_8_00928100",12,10800
"TN_8_01242600",149.795501708984,134815.951538086
"TN_8_01251500",81.458251953125,73312.4267578125
"TN_8_01258800",8,7200
"TN_8_00924700",0,0
"TN_8_01259200",0,0
"TN_8_01243500",12,10800
"TN_8_01241900",13,11700
"TN_8_01252700",13,11700
"TN_8_01252200",0,0
"TN_8_01252900",0.688464641571045,619.61817741394
"TN_8_01259500",5,4500
"TN_8_01257000",6,5400
"TN_8_01276200",1,900
"TN_8_01258700",0,0
"TN_8_01252800",0,0
"TN_8_01243300",4,3600
"TN_8_00927600",0,0
"TN_8_01242300",39,35100
"TN_8_01257100",5,4500
"TN_8_01243100",86.3338317871094,77700.4486083984
"TN_8_01253000",6,5400
"TN_8_01257200",0,0
"TN_8_01278300",0,0
"TN_8_01243400",61.0205955505371,54918.5359954834
"TN_8_01259300",0,0
