"UniqueID","saline_pixel_count","saline_area_m2"
"OD_3_01586500",571.002563476562,513902.307128906
"OD_3_01586700",2058.91040039062,1853019.36035156
"OD_3_01586200",261.133972167969,235020.574951172
"OD_3_01586100",393.694458007812,354325.012207031
"OD_3_01586600",626.940551757812,564246.496582031
"OD_3_01586800",892.70068359375,803430.615234375
"OD_3_01587000",469.743560791016,422769.204711914
"OD_3_01587100",843.75341796875,759378.076171875
"OD_3_01708700",582.092712402344,523883.441162109
"OD_3_01708600",333.136077880859,299822.470092773
"OD_3_01709000",835.416442871094,751874.798583984
"OD_3_01585900",79.0838317871094,71175.4486083984
"OD_3_01708400",525.784790039062,473206.311035156
"OD_3_01589800",843.736267089844,759362.640380859
"OD_3_01709800",1365.23889160156,1228715.00244141
"OD_3_01587600",910.805541992188,819724.987792969
"OD_3_01710300",83.785041809082,75406.5376281738
"OD_3_01710500",1072.17065429688,964953.588867188
"OD_3_01709200",911.73291015625,820559.619140625
"OD_3_01709400",682.393920898438,614154.528808594
"OD_3_01709500",676.643493652344,608979.144287109
"OD_3_01709900",506.715270996094,456043.743896484
"OD_3_01588200",465.846740722656,419262.066650391
"OD_3_01586000",774.46728515625,697020.556640625
"OD_3_01710100",679.689025878906,611720.123291016
"OD_3_01587200",133.795303344727,120415.773010254
"OD_3_01709300",758.169921875,682352.9296875
"OD_3_01589900",378.940307617188,341046.276855469
"OD_3_01590200",1384.58557128906,1246127.01416016
"OD_3_01585700",121.265678405762,109139.110565186
"OD_3_01590000",1100.87536621094,990787.829589844
"OD_3_01708200",1674.09423828125,1506684.81445312
"OD_3_01585600",17.473108291626,15725.7974624634
"OD_3_01708500",222.867660522461,200580.894470215
"OD_3_01708900",346.602874755859,311942.587280273
"OD_3_01589000",151.613418579102,136452.076721191
"OD_3_01585500",59.8984756469727,53908.6280822754
"OD_3_01708800",625.142211914062,562627.990722656
"OD_3_01588400",669.892700195312,602903.430175781
"OD_3_01585800",50.7088851928711,45637.996673584
